system,family,cv,setting,arm,comparator,n_seeds,seeds,endpoint,direction,arm_estimate,comparator_estimate,abs_diff,rel_pct,ci95,favorable_seeds,test,status,prereg,reference,artifact,regime,regime_basis,section,notes
"entropic bottleneck, oracle target, beta=8",model potential,xi = x,beta=8,oracle mFR (diagnostic control),ABF,20,,final l2_f,lower is better; rel_pct<0 = arm better than comparator,,,,28.102,,,matched-seed median gain,diagnostic control,none,analytic reference,results/entropic_bottleneck/summaries/config_summary.csv,establishment-limited,see the practical row,sec:case_eb,"the oracle is WORSE than ABF here: an exact free-energy-shaped target fights the transient ABF bias. The oracle is a diagnostic of regime, not a performance upper bound"
"butane torsion, cell butane_b0.5_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral),butane_b0.5_s2.3_full_trans,"practical mFR (fr_estimated, rate 0.02)",ABF,12,1-12,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.514564,0.515408,-0.000844,0.068,"[-0.08, 0.19]",5/12,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",exact analytic F(phi1)=V4(phi1)+C,results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,the single dihedral mixes freely under the bias; no support deficit forms on the biased coordinate,sec:case_butane,verdict: equivalent
"butane torsion, cell butane_b1_s2.3_full_dispersed",united-atom alkane,xi = phi1 (signed dihedral),butane_b1_s2.3_full_dispersed,"practical mFR (fr_estimated, rate 0.02)",ABF,16,1-16,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.270688,0.270538,0.00015,-0.060,"[-0.21, 0.20]",9/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",exact analytic F(phi1)=V4(phi1)+C,results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,the single dihedral mixes freely under the bias; no support deficit forms on the biased coordinate,sec:case_butane,verdict: equivalent
"butane torsion, cell butane_b1_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral),butane_b1_s2.3_full_trans,"practical mFR (fr_estimated, rate 0.02)",ABF,16,1-16,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.274894,0.274785,0.000109,0.104,"[0.07, 0.42]",6/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",exact analytic F(phi1)=V4(phi1)+C,results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,the single dihedral mixes freely under the bias; no support deficit forms on the biased coordinate,sec:case_butane,verdict: equivalent
"butane torsion, cell butane_b2_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral),butane_b2_s2.3_full_trans,"practical mFR (fr_estimated, rate 0.02)",ABF,12,1-12,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.142451,0.142398,5.3e-05,0.190,"[0.06, 0.47]",4/12,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",exact analytic F(phi1)=V4(phi1)+C,results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,the single dihedral mixes freely under the bias; no support deficit forms on the biased coordinate,sec:case_butane,verdict: equivalent
"pentane torsion, cell pentane_b1_s2.3_full_dispersed",united-atom alkane,xi = phi1 (signed dihedral; phi2 hidden),pentane_b1_s2.3_full_dispersed,"aggressive mFR (fr_active, rate 0.20; mechanism probe)",ABF,16,1-16,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.271796,0.2553,0.016496,5.094,"[3.97, 6.84]",1/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",cached quadrature reference (cache/alkanes),results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,"phi1 is easy to flatten; the residual difficulty is the HIDDEN conditional p(phi2|phi1), a coordinate mFR does not bias",sec:case_pentane,verdict: equivalent
"pentane torsion, cell pentane_b1_s2.3_full_dispersed",united-atom alkane,xi = phi1 (signed dihedral; phi2 hidden),pentane_b1_s2.3_full_dispersed,"practical mFR (fr_estimated, rate 0.02)",ABF,16,1-16,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.25641,0.2553,0.00111,0.723,"[-0.34, 1.39]",6/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",cached quadrature reference (cache/alkanes),results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,"phi1 is easy to flatten; the residual difficulty is the HIDDEN conditional p(phi2|phi1), a coordinate mFR does not bias",sec:case_pentane,verdict: equivalent
"pentane torsion, cell pentane_b1_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral; phi2 hidden),pentane_b1_s2.3_full_trans,"aggressive mFR (fr_active, rate 0.20; mechanism probe)",ABF,16,1-16,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.300677,0.284371,0.016306,5.879,"[4.27, 6.98]",0/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",cached quadrature reference (cache/alkanes),results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,"phi1 is easy to flatten; the residual difficulty is the HIDDEN conditional p(phi2|phi1), a coordinate mFR does not bias",sec:case_pentane,verdict: equivalent
"pentane torsion, cell pentane_b1_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral; phi2 hidden),pentane_b1_s2.3_full_trans,"practical mFR (fr_estimated, rate 0.02)",ABF,16,1-16,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.287297,0.284371,0.002926,0.393,"[-0.23, 1.26]",6/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",cached quadrature reference (cache/alkanes),results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,"phi1 is easy to flatten; the residual difficulty is the HIDDEN conditional p(phi2|phi1), a coordinate mFR does not bias",sec:case_pentane,verdict: equivalent
"pentane torsion, cell pentane_b2_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral; phi2 hidden),pentane_b2_s2.3_full_trans,"aggressive mFR (fr_active, rate 0.20; mechanism probe)",ABF,16,1-12,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.19945,0.194036,0.005414,2.103,"[1.43, 2.36]",0/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",cached quadrature reference (cache/alkanes),results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,"phi1 is easy to flatten; the residual difficulty is the HIDDEN conditional p(phi2|phi1), a coordinate mFR does not bias",sec:case_pentane,verdict: equivalent
"pentane torsion, cell pentane_b2_s2.3_full_trans",united-atom alkane,xi = phi1 (signed dihedral; phi2 hidden),pentane_b2_s2.3_full_trans,"practical mFR (fr_estimated, rate 0.02)",ABF,16,1-12,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.195724,0.194036,0.001688,0.267,"[0.21, 0.71]",2/16,matched-seed bootstrap; TOST margin +/-10%,confirmatory within a pre-declared equivalence margin,"equivalence margin fixed in code before the production stage (analyze_alkanes.py --margin, default 0.10)",cached quadrature reference (cache/alkanes),results/alkanes/production/summaries/alkanes_equivalence.csv,ABF-sufficient,"phi1 is easy to flatten; the residual difficulty is the HIDDEN conditional p(phi2|phi1), a coordinate mFR does not bias",sec:case_pentane,verdict: equivalent
"pentane end-to-end distance R15, cell production_dist_pentane_b2_trans_g256",united-atom alkane,xi = R15 = |q5 - q1| (curved distance CV),production_dist_pentane_b2_trans_g256,aggressive mFR (fr_active; mechanism probe),ABF,8,1-8,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,2.0149,1.49964,0.51526,32.809,"[28.09, 34.32]",0/8,matched-seed bootstrap; success rule in cv_success.csv,confirmatory within a pre-declared success rule,success rule fixed in analyze_alkanes_cv_extension.py before the methods stage,cached importance-sampling reference with an independent uniform-proposal cross-check (cache/alkanes_cv),results/alkanes_cv_extension/r15_methods/summaries/cv_paired.csv,discovery-limited,"ABF-only screen labels this the study's FIRST genuinely starved biased coordinate (norm L2 0.144, ~22% of thermal bins under-supported); the deficit is a rare torsional-barrier CROSSING, not a support imbalance reallocation can fill",sec:cv_harder_1d,"mFR is EQUIVALENT at the deployable rate and sharply HARMFUL when pushed: fr_active repairs nominal support (0.223 -> 0.082 under-supported) yet makes the free energy ~33% worse, with ancestor ESS collapsing and round trips FALLING. Amplification is not discovery"
"pentane end-to-end distance R15, cell production_dist_pentane_b2_trans_g256",united-atom alkane,xi = R15 = |q5 - q1| (curved distance CV),production_dist_pentane_b2_trans_g256,practical mFR (fr_estimated),ABF,8,1-8,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,1.53169,1.49964,0.03205,2.033,"[1.62, 2.38]",0/8,matched-seed bootstrap; success rule in cv_success.csv,confirmatory within a pre-declared success rule,success rule fixed in analyze_alkanes_cv_extension.py before the methods stage,cached importance-sampling reference with an independent uniform-proposal cross-check (cache/alkanes_cv),results/alkanes_cv_extension/r15_methods/summaries/cv_paired.csv,discovery-limited,"ABF-only screen labels this the study's FIRST genuinely starved biased coordinate (norm L2 0.144, ~22% of thermal bins under-supported); the deficit is a rare torsional-barrier CROSSING, not a support imbalance reallocation can fill",sec:cv_harder_1d,"mFR is EQUIVALENT at the deployable rate and sharply HARMFUL when pushed: fr_active repairs nominal support (0.223 -> 0.082 under-supported) yet makes the free energy ~33% worse, with ancestor ESS collapsing and round trips FALLING. Amplification is not discovery"
"pentane end-to-end distance R15, cell production_dist_pentane_b2_trans_g256",united-atom alkane,xi = R15 = |q5 - q1| (curved distance CV),production_dist_pentane_b2_trans_g256,oracle mFR (fr_oracle; diagnostic control),ABF,8,1-8,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,1.53307,1.49964,0.03343,2.009,"[1.66, 2.66]",0/8,matched-seed bootstrap; success rule in cv_success.csv,confirmatory within a pre-declared success rule,success rule fixed in analyze_alkanes_cv_extension.py before the methods stage,cached importance-sampling reference with an independent uniform-proposal cross-check (cache/alkanes_cv),results/alkanes_cv_extension/r15_methods/summaries/cv_paired.csv,discovery-limited,"ABF-only screen labels this the study's FIRST genuinely starved biased coordinate (norm L2 0.144, ~22% of thermal bins under-supported); the deficit is a rare torsional-barrier CROSSING, not a support imbalance reallocation can fill",sec:cv_harder_1d,"mFR is EQUIVALENT at the deployable rate and sharply HARMFUL when pushed: fr_active repairs nominal support (0.223 -> 0.082 under-supported) yet makes the free energy ~33% worse, with ancestor ESS collapsing and round trips FALLING. Amplification is not discovery"
"pentane torsion torus, cell production_joint2d_pentane_b2_trans_g48",united-atom alkane,"xi = (phi1, phi2) in T^2 (both torsions biased)",production_joint2d_pentane_b2_trans_g48,aggressive mFR (fr_active; mechanism probe),ABF,6,1-6,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.730264,0.723556,0.006708,0.905,"[0.66, 1.14]",0/6,matched-seed bootstrap; success rule in cv_success.csv,confirmatory within a pre-declared success rule,success rule fixed in analyze_alkanes_cv_extension.py before the methods stage,cached importance-sampling reference with an independent uniform-proposal cross-check (cache/alkanes_cv),results/alkanes_cv_extension/2d_methods/summaries/cv_paired.csv,ABF-sufficient,promoting the hidden torsion into the CV removes the starvation: the ABF-only screen labels every production cell 'easy',sec:cv_does_it_help,"biasing both dihedrals resolves both barriers directly, leaving no marginal imbalance for reallocation to correct"
"pentane torsion torus, cell production_joint2d_pentane_b2_trans_g48",united-atom alkane,"xi = (phi1, phi2) in T^2 (both torsions biased)",production_joint2d_pentane_b2_trans_g48,practical mFR (fr_estimated),ABF,6,1-6,final_l2_F,lower is better; rel_pct<0 = arm better than comparator,0.724565,0.723556,0.001009,0.217,"[0.11, 0.29]",0/6,matched-seed bootstrap; success rule in cv_success.csv,confirmatory within a pre-declared success rule,success rule fixed in analyze_alkanes_cv_extension.py before the methods stage,cached importance-sampling reference with an independent uniform-proposal cross-check (cache/alkanes_cv),results/alkanes_cv_extension/2d_methods/summaries/cv_paired.csv,ABF-sufficient,promoting the hidden torsion into the CV removes the starvation: the ABF-only screen labels every production cell 'easy',sec:cv_does_it_help,"biasing both dihedrals resolves both barriers directly, leaving no marginal imbalance for reallocation to correct"
"alanine dipeptide, pilot N2048 (Case VI)",all-atom peptide (vacuum),"xi = (phi, psi) (Ramachandran)","Ace-Ala-Nme, ff14SB, vacuum, 300 K, 100 ps run, 20-100 ps window",ORACLE mFR (fr_oracle),ABF,4,0-3,"int_eF_km_equilibrium (kernel-matched integrated FES error, equilibrium weighting)",lower is better; rel_pct<0 = arm better than comparator,,,,0.0129,"[0.0117, 0.0296]",0/4,paired BCa bootstrap; pre-declared threshold -10% to call an improvement,confirmatory against a pre-declared threshold,ALANINE_ORACLE_PILOT_HANDOFF.md sec.0; thresholds fixed before the run,"results/alanine/reference/reference.npz (24x24 periodic umbrella + MBAR, 16 copies/window; dG = 3.419 +/- 0.079 kT, systematic floor 0.25 kT)",results/alanine_oracle/pilot/analysis/pilot_decision_N2048.json,ABF-sufficient,"ABF reaches C7ax in 3.1-4.1 ps and holds ~5.6% occupancy, so the state is both found and populated; the reference shows psi carries at most a 0.75 kT internal barrier, so there is no hidden slow coordinate for reallocation to repair",sec:neutrality,"pilot, N=2048 walkers, C7eq initialisation; classification EQUIVALENT. Only the ORACLE target was ever run for alanine -- the ideal-information control also changes nothing, which is stronger than a practical-arm null"
"alanine dipeptide, pilot N4096 (Case VI)",all-atom peptide (vacuum),"xi = (phi, psi) (Ramachandran)","Ace-Ala-Nme, ff14SB, vacuum, 300 K, 100 ps run, 20-100 ps window",ORACLE mFR (fr_oracle),ABF,4,10-13,"int_eF_km_equilibrium (kernel-matched integrated FES error, equilibrium weighting)",lower is better; rel_pct<0 = arm better than comparator,,,,-0.0100,"[-0.0632, -0.0024]",3/4,paired BCa bootstrap; pre-declared threshold -10% to call an improvement,confirmatory against a pre-declared threshold,ALANINE_ORACLE_PILOT_HANDOFF.md sec.0; thresholds fixed before the run,"results/alanine/reference/reference.npz (24x24 periodic umbrella + MBAR, 16 copies/window; dG = 3.419 +/- 0.079 kT, systematic floor 0.25 kT)",results/alanine_oracle/pilot/analysis/pilot_decision_N4096.json,ABF-sufficient,"ABF reaches C7ax in 3.1-4.1 ps and holds ~5.6% occupancy, so the state is both found and populated; the reference shows psi carries at most a 0.75 kT internal barrier, so there is no hidden slow coordinate for reallocation to repair",sec:neutrality,"pilot, N=4096 walkers, C7eq initialisation (headline pilot stage); classification EQUIVALENT. Only the ORACLE target was ever run for alanine -- the ideal-information control also changes nothing, which is stronger than a practical-arm null"
"alanine dipeptide, pilot N2048_refeq (Case VI)",all-atom peptide (vacuum),"xi = (phi, psi) (Ramachandran)","Ace-Ala-Nme, ff14SB, vacuum, 300 K, 100 ps run, 20-100 ps window",ORACLE mFR (fr_oracle),ABF,4,20-23,"int_eF_km_equilibrium (kernel-matched integrated FES error, equilibrium weighting)",lower is better; rel_pct<0 = arm better than comparator,,,,0.0313,"[-0.0965, 0.0407]",1/4,paired BCa bootstrap; pre-declared threshold -10% to call an improvement,confirmatory against a pre-declared threshold,ALANINE_ORACLE_PILOT_HANDOFF.md sec.0; thresholds fixed before the run,"results/alanine/reference/reference.npz (24x24 periodic umbrella + MBAR, 16 copies/window; dG = 3.419 +/- 0.079 kT, systematic floor 0.25 kT)",results/alanine_oracle/pilot/analysis/pilot_decision_N2048_refeq.json,ABF-sufficient,"ABF reaches C7ax in 3.1-4.1 ps and holds ~5.6% occupancy, so the state is both found and populated; the reference shows psi carries at most a 0.75 kT internal barrier, so there is no hidden slow coordinate for reallocation to repair",sec:neutrality,"crossed control: reference-equilibrium initialisation; classification EQUIVALENT. Only the ORACLE target was ever run for alanine -- the ideal-information control also changes nothing, which is stronger than a practical-arm null"
"alanine dipeptide, FR-rate ladder rate=0.02 (Case VI)",all-atom peptide (vacuum),"xi = (phi, psi)","Ace-Ala-Nme, ff14SB, vacuum, 300 K, N=4096, FR rate 0.02",ORACLE mFR (fr_oracle),ABF,4,10-13,int_eF_km_equilibrium,lower is better; rel_pct<0 = arm better than comparator,,,,-0.0100,"[-0.0632, -0.0024]",3/4,paired BCa bootstrap,"post-pilot rate sensitivity (declared after the pilot concluded; removes the 'rate too gentle' objection, NOT an independent replication)",results/alanine_oracle/rate_ladder/PREREGISTRATION.json (declared_at_commit c065c2d),results/alanine/reference/reference.npz,results/alanine_oracle/rate_ladder/analysis/ladder_summary.json,ABF-sufficient,see the pilot rows,sec:neutrality,"3021 birth-death events (0.126% per opportunity), age-aware ancestor ESS/N 0.966; classification EQUIVALENT. Intensity spans 22x in events and ESS falls 0.966 -> 0.602, so the mechanism verifiably worked harder and accuracy did not move"
"alanine dipeptide, FR-rate ladder rate=0.15 (Case VI)",all-atom peptide (vacuum),"xi = (phi, psi)","Ace-Ala-Nme, ff14SB, vacuum, 300 K, N=4096, FR rate 0.15",ORACLE mFR (fr_oracle),ABF,4,10-13,int_eF_km_equilibrium,lower is better; rel_pct<0 = arm better than comparator,,,,-0.0025,"[-0.0540, 0.0141]",2/4,paired BCa bootstrap,"post-pilot rate sensitivity (declared after the pilot concluded; removes the 'rate too gentle' objection, NOT an independent replication)",results/alanine_oracle/rate_ladder/PREREGISTRATION.json (declared_at_commit c065c2d),results/alanine/reference/reference.npz,results/alanine_oracle/rate_ladder/analysis/ladder_summary.json,ABF-sufficient,see the pilot rows,sec:neutrality,"22830 birth-death events (0.876% per opportunity), age-aware ancestor ESS/N 0.813; classification EQUIVALENT. Intensity spans 22x in events and ESS falls 0.966 -> 0.602, so the mechanism verifiably worked harder and accuracy did not move"
"alanine dipeptide, FR-rate ladder rate=0.45 (Case VI)",all-atom peptide (vacuum),"xi = (phi, psi)","Ace-Ala-Nme, ff14SB, vacuum, 300 K, N=4096, FR rate 0.45",ORACLE mFR (fr_oracle),ABF,4,10-13,int_eF_km_equilibrium,lower is better; rel_pct<0 = arm better than comparator,,,,0.0236,"[0.0085, 0.0352]",0/4,paired BCa bootstrap,"post-pilot rate sensitivity (declared after the pilot concluded; removes the 'rate too gentle' objection, NOT an independent replication)",results/alanine_oracle/rate_ladder/PREREGISTRATION.json (declared_at_commit c065c2d),results/alanine/reference/reference.npz,results/alanine_oracle/rate_ladder/analysis/ladder_summary.json,ABF-sufficient,see the pilot rows,sec:neutrality,"66818 birth-death events (2.557% per opportunity), age-aware ancestor ESS/N 0.602; classification EQUIVALENT. Intensity spans 22x in events and ESS falls 0.966 -> 0.602, so the mechanism verifiably worked harder and accuracy did not move"
"valine dipeptide, gate V3 (Case VII)",all-atom peptide (vacuum),"xi = (phi, chi1)","Ace-Val-Nme, vacuum, N=2048, 300 ps run, 8 labelled regions",ABF only (no mFR arm was run),n/a (establishment screen),16,0-15,frac_below_half_target (fraction of the run a region sits below half its bias-aware target occupancy),lower is better; rel_pct<0 = arm better than comparator,,,,,,,frozen gate: fires only if frac_below_half_target >= 0.2,preregistered screen; the study STOPPED here,"VALINE_SCREEN_SPEC.md; gate frozen at 7a20e9c, outcome at 00797cb","results/valine/pilot_reference/pilot_reference.npz (18x18 windows over (phi,chi1); meta.json explicitly flags IS_NOT_PUBLICATION_QUALITY -- it supplies target populations for the establishment metric only)",results/valine/closure/valine_results_table.csv,ABF-sufficient,"ABF first-touches all 8 regions by 5.4 ps, holds them from 18 ps and ESTABLISHES all 8 by 52 ps of a 300 ps run; the rarest region (population 0.0014) ends at 1.46x its bias-aware target. No discovered-but-under-established state exists",sec:neutrality,"verdict FAIL-B ABF already sufficient. NO mFR ARM WAS RUN -- the gate that would have justified one never fired, so valine's classification rests on the ABF-only establishment screen, not on a measured mFR outcome. The 11-18 kT chi1 barrier that motivated the system is a backbone-CLAMPED conditional barrier worth 1.1-7.4 kT with the backbone free; the slow coordinate is phi, which is already in the CV"
